Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-4,03,0.3597,2.7459,0.2820,0.3022,0.2710
ogbn-arxiv,Simulation-4,04,0.4262,2.5985,0.2891,0.3097,0.2814
ogbn-arxiv,Simulation-4,05,0.4930,2.4327,0.3325,0.3512,0.3292
ogbn-arxiv,Simulation-4,06,0.5596,2.2760,0.3785,0.4077,0.4030
ogbn-arxiv,Simulation-4,07,0.6256,2.1340,0.4254,0.4634,0.4615
ogbn-arxiv,Simulation-4,08,0.6938,2.0124,0.4645,0.5046,0.5106
ogbn-arxiv,Simulation-4,09,0.7594,1.9082,0.4908,0.5298,0.5346
ogbn-arxiv,Simulation-4,10,0.8259,1.8183,0.5124,0.5491,0.5544
ogbn-arxiv,Simulation-4,11,0.8918,1.7407,0.5315,0.5646,0.5692
ogbn-arxiv,Simulation-4,12,0.9575,1.6764,0.5478,0.5773,0.5805
ogbn-arxiv,Simulation-4,13,1.0255,1.6223,0.5615,0.5887,0.5904
ogbn-arxiv,Simulation-4,14,1.0908,1.5761,0.5721,0.5980,0.5965
ogbn-arxiv,Simulation-4,15,1.1573,1.5354,0.5808,0.6047,0.6025
ogbn-arxiv,Simulation-4,16,1.2236,1.5008,0.5880,0.6102,0.6075
ogbn-arxiv,Simulation-4,17,1.2904,1.4709,0.5933,0.6142,0.6112
ogbn-arxiv,Simulation-4,18,1.3576,1.4470,0.5980,0.6182,0.6151
ogbn-arxiv,Simulation-4,19,1.4244,1.4228,0.6017,0.6215,0.6186
ogbn-arxiv,Simulation-4,20,1.4910,1.4034,0.6053,0.6255,0.6220
ogbn-arxiv,Simulation-4,21,1.5621,1.3841,0.6092,0.6273,0.6241
ogbn-arxiv,Simulation-4,22,1.6286,1.3685,0.6128,0.6298,0.6264
ogbn-arxiv,Simulation-4,23,1.6953,1.3523,0.6160,0.6324,0.6287
ogbn-arxiv,Simulation-4,24,1.7714,1.3403,0.6192,0.6342,0.6316
ogbn-arxiv,Simulation-4,25,1.8428,1.3273,0.6219,0.6361,0.6336
ogbn-arxiv,Simulation-4,26,1.9095,1.3149,0.6241,0.6380,0.6344
ogbn-arxiv,Simulation-4,27,1.9763,1.3042,0.6266,0.6391,0.6374
ogbn-arxiv,Simulation-4,28,2.0433,1.2947,0.6294,0.6413,0.6388
ogbn-arxiv,Simulation-4,29,2.1099,1.2848,0.6318,0.6437,0.6408
ogbn-arxiv,Simulation-4,30,2.1778,1.2754,0.6338,0.6451,0.6422
ogbn-arxiv,Simulation-4,31,2.2443,1.2672,0.6354,0.6464,0.6447
ogbn-arxiv,Simulation-4,32,2.3114,1.2602,0.6372,0.6478,0.6454
ogbn-arxiv,Simulation-4,33,2.3781,1.2519,0.6392,0.6487,0.6470
ogbn-arxiv,Simulation-4,34,2.4417,1.2447,0.6410,0.6513,0.6488
ogbn-arxiv,Simulation-4,35,2.5092,1.2371,0.6429,0.6526,0.6501
ogbn-arxiv,Simulation-4,36,2.5758,1.2327,0.6445,0.6537,0.6502
ogbn-arxiv,Simulation-4,37,2.6423,1.2256,0.6465,0.6558,0.6515
ogbn-arxiv,Simulation-4,38,2.7091,1.2202,0.6481,0.6574,0.6530
ogbn-arxiv,Simulation-4,39,2.7759,1.2153,0.6493,0.6584,0.6549
ogbn-arxiv,Simulation-4,40,2.8440,1.2085,0.6506,0.6598,0.6557
ogbn-arxiv,Simulation-4,41,2.9106,1.2049,0.6525,0.6609,0.6563
ogbn-arxiv,Simulation-4,42,2.9766,1.2005,0.6533,0.6624,0.6571
ogbn-arxiv,Simulation-4,43,3.0434,1.1947,0.6545,0.6637,0.6584
ogbn-arxiv,Simulation-4,44,3.1102,1.1911,0.6560,0.6639,0.6589
