Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,DDP-2,30,1.1896,1.3373,0.5278,0.4990,0.5006
flickr,DDP-2,31,1.2246,1.3339,0.5291,0.4987,0.5005
flickr,DDP-2,32,1.2603,1.3268,0.5300,0.4978,0.4997
flickr,DDP-2,33,1.2953,1.3239,0.5311,0.4973,0.4984
flickr,DDP-2,34,1.3308,1.3176,0.5318,0.4973,0.4990
flickr,DDP-2,35,1.3657,1.3142,0.5334,0.4987,0.4984
flickr,DDP-2,36,1.4011,1.3084,0.5342,0.4982,0.4985
flickr,DDP-2,37,1.4362,1.3042,0.5357,0.4975,0.4995
flickr,DDP-2,38,1.4717,1.2988,0.5362,0.4974,0.4992
flickr,DDP-2,39,1.5067,1.2948,0.5375,0.4978,0.4985
flickr,DDP-2,40,1.5422,1.2899,0.5388,0.4973,0.4986
flickr,DDP-2,41,1.5771,1.2848,0.5395,0.4966,0.4978
flickr,DDP-2,42,1.6126,1.2824,0.5414,0.4970,0.4986
flickr,DDP-2,43,1.6475,1.2752,0.5416,0.4965,0.4981
flickr,DDP-2,44,1.6829,1.2718,0.5446,0.4964,0.4978
flickr,DDP-2,45,1.7178,1.2647,0.5451,0.4971,0.4979
flickr,DDP-2,46,1.7533,1.2609,0.5458,0.4926,0.4958
flickr,DDP-2,47,1.7883,1.2521,0.5491,0.4926,0.4955
flickr,DDP-2,48,1.8239,1.2498,0.5490,0.4917,0.4945
flickr,DDP-2,49,1.8588,1.2436,0.5493,0.4927,0.4966
flickr,Simulation-4,00,0.2469,1.7068,0.4384,0.4410,0.4395
flickr,Simulation-4,01,0.3203,1.5930,0.4603,0.4606,0.4606
flickr,Simulation-4,02,0.3937,1.5603,0.4769,0.4749,0.4773
flickr,Simulation-4,03,0.4672,1.5310,0.4875,0.4835,0.4859
flickr,Simulation-4,04,0.5398,1.5050,0.4940,0.4919,0.4905
flickr,Simulation-4,05,0.6124,1.4815,0.4996,0.4953,0.4947
flickr,Simulation-4,06,0.6856,1.4602,0.5047,0.4981,0.4974
flickr,Simulation-4,07,0.7582,1.4428,0.5091,0.5009,0.4973
flickr,Simulation-4,08,0.8313,1.4260,0.5121,0.5030,0.4989
flickr,Simulation-4,09,0.9040,1.4119,0.5152,0.5042,0.5016
flickr,Simulation-4,10,0.9771,1.3988,0.5172,0.5045,0.5015
flickr,Simulation-4,11,1.0502,1.3868,0.5192,0.5048,0.5024
flickr,Simulation-4,12,1.1232,1.3761,0.5227,0.5048,0.5045
flickr,Simulation-4,13,1.1966,1.3650,0.5241,0.5044,0.5035
flickr,Simulation-4,14,1.2695,1.3526,0.5261,0.5041,0.5039
flickr,Simulation-4,15,1.3423,1.3400,0.5291,0.5043,0.5041
flickr,Simulation-4,16,1.4153,1.3302,0.5312,0.5033,0.5024
flickr,Simulation-4,17,1.4892,1.3187,0.5318,0.5035,0.5028
flickr,Simulation-4,18,1.5618,1.3065,0.5346,0.5026,0.5020
flickr,Simulation-4,19,1.6347,1.2967,0.5366,0.5028,0.5019
flickr,Simulation-4,20,1.7070,1.2846,0.5374,0.5027,0.5013
flickr,Simulation-4,21,1.7799,1.2752,0.5401,0.5005,0.5006
flickr,Simulation-4,22,1.8529,1.2657,0.5423,0.5013,0.5010
flickr,Simulation-4,23,1.9257,1.2533,0.5440,0.5017,0.5010
flickr,Simulation-4,24,1.9982,1.2418,0.5469,0.4996,0.5013
flickr,Simulation-4,25,2.0706,1.2307,0.5497,0.4985,0.4994
flickr,Simulation-4,26,2.1434,1.2189,0.5518,0.5006,0.4998
flickr,Simulation-4,27,2.2164,1.2073,0.5554,0.4976,0.4982
flickr,Simulation-4,28,2.2863,1.1983,0.5574,0.4959,0.4976
flickr,Simulation-4,29,2.3593,1.1861,0.5596,0.4973,0.4972
flickr,Simulation-4,30,2.4323,1.1759,0.5631,0.4951,0.4954
flickr,Simulation-4,31,2.5033,1.1663,0.5664,0.4928,0.4954
flickr,Simulation-4,32,2.5760,1.1585,0.5671,0.4922,0.4936
flickr,Simulation-4,33,2.6483,1.1481,0.5704,0.4907,0.4933
flickr,Simulation-4,34,2.7212,1.1382,0.5739,0.4895,0.4931
flickr,Simulation-4,35,2.7980,1.1274,0.5772,0.4900,0.4926
flickr,Simulation-4,36,2.8719,1.1180,0.5796,0.4891,0.4899
flickr,Simulation-4,37,2.9453,1.1076,0.5803,0.4912,0.4911
flickr,Simulation-4,38,3.0187,1.0976,0.5841,0.4873,0.4885
flickr,Simulation-4,39,3.0918,1.0882,0.5859,0.4882,0.4877
flickr,Simulation-4,40,3.1652,1.0788,0.5890,0.4854,0.4843
flickr,Simulation-4,41,3.2388,1.0683,0.5927,0.4827,0.4818
flickr,Simulation-4,42,3.3122,1.0602,0.5948,0.4812,0.4789
flickr,Simulation-4,43,3.3855,1.0503,0.5992,0.4806,0.4807
flickr,Simulation-4,44,3.4586,1.0399,0.6005,0.4830,0.4821
flickr,Simulation-4,45,3.5317,1.0299,0.6011,0.4790,0.4772
flickr,Simulation-4,46,3.6050,1.0244,0.6025,0.4755,0.4762
flickr,Simulation-4,47,3.6781,1.0167,0.6048,0.4780,0.4780
flickr,Simulation-4,48,3.7516,1.0087,0.6089,0.4729,0.4734
flickr,Simulation-4,49,3.8250,0.9982,0.6127,0.4783,0.4799
flickr,DDP-4,00,0.0845,1.8380,0.4428,0.4407,0.4403
flickr,DDP-4,01,0.1048,1.6504,0.4491,0.4480,0.4467
flickr,DDP-4,02,0.1248,1.6254,0.4581,0.4558,0.4561
flickr,DDP-4,03,0.1429,1.5981,0.4669,0.4647,0.4658
flickr,DDP-4,04,0.1611,1.5788,0.4735,0.4727,0.4710
flickr,DDP-4,05,0.1793,1.5640,0.4779,0.4773,0.4758
flickr,DDP-4,06,0.1976,1.5459,0.4818,0.4788,0.4780
flickr,DDP-4,07,0.2163,1.5344,0.4862,0.4849,0.4816
flickr,DDP-4,08,0.2345,1.5216,0.4911,0.4899,0.4862
flickr,DDP-4,09,0.2531,1.5094,0.4946,0.4918,0.4892
flickr,DDP-4,10,0.2713,1.5012,0.4957,0.4934,0.4928
flickr,DDP-4,11,0.2897,1.4911,0.4983,0.4948,0.4937
flickr,DDP-4,12,0.3082,1.4810,0.4996,0.4962,0.4936
flickr,DDP-4,13,0.3266,1.4749,0.5009,0.4967,0.4947
flickr,DDP-4,14,0.3452,1.4667,0.5022,0.4973,0.4954
flickr,DDP-4,15,0.3634,1.4587,0.5030,0.4980,0.4959
flickr,DDP-4,16,0.3816,1.4536,0.5045,0.4975,0.4955
flickr,DDP-4,17,0.3998,1.4461,0.5051,0.4984,0.4974
flickr,DDP-4,18,0.4181,1.4376,0.5067,0.4985,0.4975
flickr,DDP-4,19,0.4364,1.4343,0.5086,0.5004,0.4981
flickr,DDP-4,20,0.4552,1.4265,0.5093,0.5010,0.4993
flickr,DDP-4,21,0.4751,1.4251,0.5103,0.5010,0.4996
flickr,DDP-4,22,0.4936,1.4193,0.5108,0.5014,0.4996
