Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Simulation-4,10,1.6249,1.4375,0.5061,0.4974,0.4990
flickr,Simulation-4,11,1.7593,1.4300,0.5065,0.4978,0.4996
flickr,Simulation-4,12,1.8939,1.4222,0.5101,0.4971,0.5007
flickr,Simulation-4,13,2.0283,1.4143,0.5100,0.4979,0.5006
flickr,Simulation-4,14,2.1629,1.4085,0.5120,0.4979,0.5007
flickr,Simulation-4,15,2.2973,1.4027,0.5119,0.4979,0.5005
flickr,Simulation-4,16,2.4319,1.3976,0.5130,0.4974,0.4998
flickr,Simulation-4,17,2.5664,1.3923,0.5149,0.4980,0.4998
flickr,Simulation-4,18,2.7010,1.3877,0.5154,0.4980,0.4994
flickr,Simulation-4,19,2.8355,1.3830,0.5159,0.4965,0.4984
flickr,Simulation-4,20,2.9701,1.3784,0.5164,0.4959,0.4976
flickr,Simulation-4,21,3.1045,1.3749,0.5181,0.4969,0.4999
flickr,Simulation-4,22,3.2389,1.3701,0.5176,0.4956,0.4994
flickr,Simulation-4,23,3.3734,1.3655,0.5198,0.4955,0.4978
flickr,Simulation-4,24,3.5079,1.3602,0.5196,0.4945,0.4972
flickr,Simulation-4,25,3.6423,1.3558,0.5218,0.4946,0.4962
flickr,Simulation-4,26,3.7769,1.3519,0.5228,0.4930,0.4969
flickr,Simulation-4,27,3.9113,1.3475,0.5241,0.4919,0.4969
flickr,Simulation-4,28,4.0459,1.3427,0.5244,0.4929,0.4960
flickr,Simulation-4,29,4.1804,1.3392,0.5264,0.4924,0.4952
flickr,Simulation-4,30,4.3148,1.3322,0.5274,0.4918,0.4945
flickr,Simulation-4,31,4.4493,1.3292,0.5287,0.4909,0.4942
flickr,Simulation-4,32,4.5839,1.3253,0.5298,0.4902,0.4943
flickr,Simulation-4,33,4.7184,1.3221,0.5308,0.4902,0.4939
flickr,Simulation-4,34,4.8530,1.3197,0.5309,0.4887,0.4938
flickr,Simulation-4,35,4.9875,1.3138,0.5320,0.4892,0.4936
flickr,Simulation-4,36,5.1220,1.3100,0.5333,0.4867,0.4925
flickr,Simulation-4,37,5.2565,1.3051,0.5326,0.4874,0.4905
flickr,Simulation-4,38,5.3910,1.3042,0.5348,0.4865,0.4895
flickr,Simulation-4,39,5.5256,1.3006,0.5369,0.4870,0.4898
flickr,Simulation-4,40,5.6601,1.2963,0.5382,0.4848,0.4906
flickr,Simulation-4,41,5.7945,1.2934,0.5384,0.4843,0.4887
flickr,Simulation-4,42,5.9291,1.2892,0.5405,0.4838,0.4890
flickr,Simulation-4,43,6.0637,1.2847,0.5423,0.4819,0.4882
flickr,Simulation-4,44,6.1981,1.2802,0.5437,0.4802,0.4867
flickr,Simulation-4,45,6.3328,1.2783,0.5449,0.4791,0.4847
flickr,Simulation-4,46,6.4674,1.2739,0.5454,0.4784,0.4848
flickr,Simulation-4,47,6.6019,1.2722,0.5461,0.4786,0.4843
flickr,Simulation-4,48,6.7364,1.2651,0.5482,0.4758,0.4835
flickr,Simulation-4,49,6.8709,1.2627,0.5481,0.4755,0.4837
flickr,DDP-4,00,0.1089,1.8182,0.4031,0.4027,0.4074
flickr,DDP-4,01,0.1543,1.6539,0.4435,0.4435,0.4441
flickr,DDP-4,02,0.2004,1.6100,0.4568,0.4536,0.4566
flickr,DDP-4,03,0.2441,1.5975,0.4561,0.4559,0.4577
flickr,DDP-4,04,0.2866,1.5741,0.4702,0.4680,0.4712
flickr,DDP-4,05,0.3289,1.5616,0.4758,0.4735,0.4761
flickr,DDP-4,06,0.3706,1.5490,0.4770,0.4762,0.4785
flickr,DDP-4,07,0.4125,1.5363,0.4821,0.4793,0.4822
flickr,DDP-4,08,0.4542,1.5205,0.4861,0.4823,0.4842
flickr,DDP-4,09,0.4959,1.5115,0.4872,0.4838,0.4845
flickr,DDP-4,10,0.5375,1.5037,0.4906,0.4865,0.4863
flickr,DDP-4,11,0.5792,1.4943,0.4934,0.4878,0.4893
flickr,DDP-4,12,0.6210,1.4863,0.4943,0.4889,0.4898
flickr,DDP-4,13,0.6628,1.4810,0.4955,0.4910,0.4902
flickr,DDP-4,14,0.7046,1.4733,0.4973,0.4927,0.4923
flickr,DDP-4,15,0.7463,1.4670,0.4982,0.4935,0.4935
flickr,DDP-4,16,0.7880,1.4617,0.4997,0.4936,0.4944
flickr,DDP-4,17,0.8298,1.4548,0.5011,0.4941,0.4946
flickr,DDP-4,18,0.8715,1.4487,0.5014,0.4943,0.4946
flickr,DDP-4,19,0.9132,1.4456,0.5021,0.4957,0.4941
flickr,DDP-4,20,0.9549,1.4398,0.5023,0.4954,0.4947
flickr,DDP-4,21,0.9966,1.4335,0.5033,0.4956,0.4945
flickr,DDP-4,22,1.0384,1.4319,0.5053,0.4961,0.4956
flickr,DDP-4,23,1.0800,1.4255,0.5064,0.4973,0.4958
flickr,DDP-4,24,1.1218,1.4217,0.5075,0.4974,0.4963
flickr,DDP-4,25,1.1635,1.4184,0.5095,0.4977,0.4963
flickr,DDP-4,26,1.2052,1.4127,0.5106,0.4977,0.4968
flickr,DDP-4,27,1.2469,1.4117,0.5111,0.4971,0.4971
flickr,DDP-4,28,1.2886,1.4070,0.5114,0.4975,0.4966
flickr,DDP-4,29,1.3303,1.4029,0.5122,0.4970,0.4958
flickr,DDP-4,30,1.3719,1.4019,0.5125,0.4968,0.4963
flickr,DDP-4,31,1.4136,1.3994,0.5130,0.4979,0.4958
flickr,DDP-4,32,1.4553,1.3958,0.5129,0.4975,0.4963
flickr,DDP-4,33,1.4971,1.3919,0.5123,0.4977,0.4956
flickr,DDP-4,34,1.5388,1.3913,0.5137,0.4972,0.4949
flickr,DDP-4,35,1.5805,1.3873,0.5140,0.4982,0.4952
flickr,DDP-4,36,1.6222,1.3833,0.5142,0.4976,0.4957
flickr,DDP-4,37,1.6641,1.3803,0.5148,0.4969,0.4968
flickr,DDP-4,38,1.7058,1.3779,0.5147,0.4967,0.4955
flickr,DDP-4,39,1.7475,1.3785,0.5156,0.4976,0.4952
flickr,DDP-4,40,1.7893,1.3716,0.5160,0.4975,0.4953
flickr,DDP-4,41,1.8310,1.3689,0.5190,0.4998,0.4961
flickr,DDP-4,42,1.8726,1.3662,0.5191,0.5002,0.4959
flickr,DDP-4,43,1.9144,1.3621,0.5209,0.5009,0.4971
flickr,DDP-4,44,1.9561,1.3620,0.5216,0.5014,0.4977
flickr,DDP-4,45,1.9978,1.3591,0.5220,0.5022,0.4978
flickr,DDP-4,46,2.0395,1.3570,0.5223,0.5010,0.4973
flickr,DDP-4,47,2.0812,1.3534,0.5230,0.5013,0.4969
flickr,DDP-4,48,2.1230,1.3496,0.5230,0.5012,0.4968
flickr,DDP-4,49,2.1648,1.3480,0.5234,0.4998,0.4974
flickr,Simulation-8,00,0.2841,1.7941,0.4302,0.4335,0.4334
flickr,Simulation-8,01,0.4117,1.6541,0.4332,0.4346,0.4323
flickr,Simulation-8,02,0.5396,1.6198,0.4550,0.4529,0.4578
flickr,Simulation-8,03,0.6672,1.5948,0.4613,0.4606,0.4635
flickr,Simulation-8,04,0.7948,1.5760,0.4683,0.4680,0.4685
flickr,Simulation-8,05,0.9222,1.5606,0.4709,0.4718,0.4729
flickr,Simulation-8,06,1.0498,1.5451,0.4762,0.4739,0.4769
flickr,Simulation-8,07,1.1772,1.5285,0.4802,0.4749,0.4808
flickr,Simulation-8,08,1.3047,1.5164,0.4842,0.4797,0.4845
flickr,Simulation-8,09,1.4320,1.5057,0.4880,0.4811,0.4879
flickr,Simulation-8,10,1.5598,1.4953,0.4926,0.4856,0.4917
flickr,Simulation-8,11,1.6873,1.4844,0.4950,0.4892,0.4928
flickr,Simulation-8,12,1.8216,1.4759,0.4973,0.4898,0.4938
