Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-4,45,4.4266,1.2361,0.6437,0.6522,0.6500
ogbn-arxiv,Simulation-4,46,4.5219,1.2324,0.6454,0.6535,0.6508
ogbn-arxiv,Simulation-4,47,4.6172,1.2297,0.6463,0.6551,0.6515
ogbn-arxiv,Simulation-4,48,4.7125,1.2255,0.6475,0.6562,0.6528
ogbn-arxiv,Simulation-4,49,4.8077,1.2206,0.6485,0.6564,0.6518
ogbn-arxiv,DDP-4,00,0.0608,3.5669,0.1791,0.0763,0.0586
ogbn-arxiv,DDP-4,01,0.0940,3.3268,0.1791,0.0763,0.0586
ogbn-arxiv,DDP-4,02,0.1270,3.0871,0.1791,0.0763,0.0586
ogbn-arxiv,DDP-4,03,0.1596,2.9494,0.1799,0.0778,0.0601
ogbn-arxiv,DDP-4,04,0.1910,2.8829,0.2796,0.3002,0.2693
ogbn-arxiv,DDP-4,05,0.2293,2.8195,0.2778,0.3008,0.2696
ogbn-arxiv,DDP-4,06,0.2598,2.7524,0.2791,0.2985,0.2686
ogbn-arxiv,DDP-4,07,0.2896,2.6867,0.2788,0.2965,0.2683
ogbn-arxiv,DDP-4,08,0.3195,2.6128,0.2901,0.3105,0.2824
ogbn-arxiv,DDP-4,09,0.3493,2.5406,0.3002,0.3159,0.2879
ogbn-arxiv,DDP-4,10,0.3792,2.4614,0.3146,0.3243,0.2973
ogbn-arxiv,DDP-4,11,0.4090,2.3842,0.3401,0.3489,0.3307
ogbn-arxiv,DDP-4,12,0.4389,2.3093,0.3678,0.3818,0.3697
ogbn-arxiv,DDP-4,13,0.4688,2.2360,0.3858,0.4025,0.3906
ogbn-arxiv,DDP-4,14,0.4986,2.1660,0.4110,0.4302,0.4195
ogbn-arxiv,DDP-4,15,0.5284,2.1013,0.4384,0.4627,0.4561
ogbn-arxiv,DDP-4,16,0.5583,2.0426,0.4560,0.4831,0.4806
ogbn-arxiv,DDP-4,17,0.5882,1.9852,0.4707,0.4993,0.4977
ogbn-arxiv,DDP-4,18,0.6181,1.9338,0.4829,0.5118,0.5105
ogbn-arxiv,DDP-4,19,0.6478,1.8888,0.4928,0.5232,0.5241
ogbn-arxiv,DDP-4,20,0.6777,1.8435,0.5036,0.5334,0.5337
ogbn-arxiv,DDP-4,21,0.7076,1.8058,0.5112,0.5416,0.5421
ogbn-arxiv,DDP-4,22,0.7373,1.7662,0.5197,0.5503,0.5509
ogbn-arxiv,DDP-4,23,0.7675,1.7320,0.5280,0.5565,0.5575
ogbn-arxiv,DDP-4,24,0.7973,1.7021,0.5351,0.5631,0.5643
ogbn-arxiv,DDP-4,25,0.8271,1.6742,0.5415,0.5687,0.5691
ogbn-arxiv,DDP-4,26,0.8570,1.6463,0.5477,0.5743,0.5741
ogbn-arxiv,DDP-4,27,0.8868,1.6205,0.5544,0.5790,0.5791
ogbn-arxiv,DDP-4,28,0.9166,1.5968,0.5599,0.5827,0.5832
ogbn-arxiv,DDP-4,29,0.9465,1.5733,0.5652,0.5877,0.5864
ogbn-arxiv,DDP-4,30,0.9763,1.5558,0.5700,0.5923,0.5901
